seed,steps,score,final_battery,deliveries,max_capacity,battery_efficiency,delivery_efficiency
0,100,150,39,5,5,1.4285714285714286,0.05
1,147,103,51,5,5,2.1,0.034013605442176874
2,101,149,32,5,5,1.4428571428571428,0.04950495049504951
3,37,163,33,4,5,0.5285714285714286,0.10810810810810811
4,157,93,28,5,5,2.242857142857143,0.03184713375796178
5,137,113,45,5,5,1.957142857142857,0.0364963503649635
6,155,95,35,5,5,2.2142857142857144,0.03225806451612903
7,65,85,5,3,5,0.9285714285714286,0.046153846153846156
8,110,140,63,5,5,1.5714285714285714,0.045454545454545456
9,98,152,37,5,5,1.4,0.05102040816326531
10,38,62,32,2,5,0.5428571428571428,0.05263157894736842
11,145,105,47,5,5,2.0714285714285716,0.034482758620689655
12,101,149,30,5,5,1.4428571428571428,0.04950495049504951
13,152,82,56,5,5,2.1714285714285713,0.03289473684210526
14,92,158,43,5,5,1.3142857142857143,0.05434782608695652
15,141,101,63,5,5,2.0142857142857142,0.03546099290780142
16,148,102,62,5,5,2.1142857142857143,0.033783783783783786
17,114,136,20,5,5,1.6285714285714286,0.043859649122807015
18,92,158,39,5,5,1.3142857142857143,0.05434782608695652
19,118,132,24,5,5,1.6857142857142857,0.0423728813559322
20,127,123,34,5,5,1.8142857142857143,0.03937007874015748
21,106,94,31,4,5,1.5142857142857142,0.03773584905660377
22,288,-182,26,5,5,4.114285714285714,0.017361111111111112
23,168,58,48,5,5,2.4,0.02976190476190476
24,95,105,37,4,5,1.3571428571428572,0.042105263157894736
25,152,98,36,5,5,2.1714285714285713,0.03289473684210526
26,94,106,45,4,5,1.3428571428571427,0.0425531914893617
27,100,100,37,4,5,1.4285714285714286,0.04
28,106,144,27,5,5,1.5142857142857142,0.04716981132075472
29,182,68,25,5,5,2.6,0.027472527472527472
30,102,98,33,4,5,1.457142857142857,0.0392156862745098
31,49,151,21,4,5,0.7,0.08163265306122448
32,110,124,34,5,5,1.5714285714285714,0.045454545454545456
33,95,155,44,5,5,1.3571428571428572,0.05263157894736842
34,152,74,58,5,5,2.1714285714285713,0.03289473684210526
